inv_id,art_code,quantity,expiration_date,batch_id
69,C00116555,733,2026-06-06,39
70,C001171255,1000,2026-04-22,40
71,C001171255,472,2026-04-22,40
72,C001171255,1000,2025-12-14,41
73,C001171255,1000,2025-12-14,41
74,C001171255,115,2025-12-14,41
75,C001171255,1000,2025-11-08,42
76,C001171255,1000,2025-11-08,42
77,C001171255,276,2025-11-08,42
78,C001171255,1000,2025-07-05,43
79,C001171255,1000,2025-07-05,43
80,C001171255,1000,2025-07-05,43
81,C001171255,1000,2025-07-05,43
82,C001171255,873,2025-07-05,43
83,C001171255,1000,2026-07-11,44
84,C001171255,1000,2026-07-11,44
85,C001171255,1000,2026-07-11,44
86,C001171255,216,2026-07-11,44
87,C001171255,1000,2026-03-05,45
88,C001171255,196,2026-03-05,45
89,C00117185,761,2025-10-27,46
90,C00117185,152,2025-07-24,47
91,C00117185,299,2025-06-20,48
92,C00117185,41,2025-08-19,49
93,C00117185,11,2025-09-26,50
94,C00117905,811,2027-03-21,51
95,C00117905,139,2027-01-04,52
96,C00117905,249,2026-11-03,53
97,C00117905,547,2025-10-13,54
98,C00117905,144,2027-05-13,55
99,C00117915,23,2027-04-04,56
100,C00117915,10,2026-01-25,57
101,C00118135,561,2025-07-10,58
102,C00118135,1000,2026-05-23,59
103,C00118135,1000,2026-05-23,59
104,C00118135,121,2026-05-23,59
105,C00118135,1000,2025-12-04,60
106,C00118135,591,2025-12-04,60
107,C00118135,1000,2026-01-25,61
108,C00118135,1000,2026-01-25,61
109,C00118135,1000,2026-01-25,61
110,C00118135,1000,2026-01-25,61
111,C00118135,605,2026-01-25,61
112,C00118135,1000,2026-02-24,62
113,C00118135,460,2026-02-24,62
114,C00118135,155,2025-10-03,63
115,C001184385,11,2025-08-04,64
116,C001184385,20,2026-01-14,65
117,C001184385,188,2026-02-19,66
118,C001184385,10,2026-03-09,67
119,C00119015,98,2026-04-12,68
120,C00119015,92,2025-12-15,69
121,C00130155,1000,2025-06-22,70
122,C00130155,1000,2025-06-22,70
123,C00130155,492,2025-06-22,70
124,C00130155,399,2025-07-11,71
125,C00130155,306,2025-06-28,72
126,C00130155,65,2025-06-28,73
127,C00130155,48,2025-06-28,74
128,C00130155,331,2025-08-05,75
129,C00130175,1000,2025-08-15,76
130,C00130175,187,2025-08-15,76
131,C00130175,937,2026-09-15,77
132,C00130175,846,2026-08-31,78
133,C00130175,1000,2026-08-31,79
134,C00130175,1000,2026-08-31,79
135,C00130175,1000,2026-08-31,79
136,C00130175,464,2026-08-31,79
137,C00130175,1000,2026-06-13,80
138,C00130175,1000,2026-06-13,80
139,C00130175,1000,2026-06-13,80
140,C00130175,556,2026-06-13,80
141,C00130175,1000,2026-06-06,81
142,C00130175,776,2026-06-06,81
143,C00130265,10,2025-10-13,82
144,C00130265,15,2025-11-01,83
145,C00130265,47,2025-07-01,84
146,C001304015,125,2026-05-20,85
147,C001304015,32,2026-03-11,86
148,C001304015,573,2025-12-04,87
149,C001304015,318,2026-04-09,88
150,C001304015,819,2026-04-03,89
151,C001304165,64,2025-08-10,90
152,C001304165,31,2025-11-06,91
153,C001304165,14,2025-09-22,92
154,C001304165,127,2026-06-06,93
155,C00131155,29,2027-04-11,94
156,C00131155,10,2025-12-16,95
157,C00131155,137,2026-01-20,96
158,C00131155,873,2026-08-26,97
159,C00131155,178,2026-06-08,98
160,C001329383,1000,2025-05-22,99
161,C001329383,783,2025-05-22,99
162,C001329383,66,2025-08-03,100
163,C001329383,1000,2025-06-12,101
164,C001329383,1000,2025-06-12,101
165,C001329383,559,2025-06-12,101
166,C001329383,1000,2025-07-04,102
167,C001329383,1000,2025-07-04,102
168,C001329383,1000,2025-07-04,102
169,C001329383,145,2025-07-04,102
170,C001329383,1000,2025-08-23,103
171,C001329383,1000,2025-08-23,103
172,C001329383,359,2025-08-23,103
173,C001329383,1000,2025-08-23,104
174,C001329383,1000,2025-08-23,104
175,C001329383,1000,2025-08-23,104
176,C001329383,1000,2025-08-23,104
177,C001329383,1000,2025-08-23,104
178,C001329383,1000,2025-08-23,104
179,C001329383,342,2025-08-23,104
180,C001332923,12,2025-06-01,105
181,C001332923,14,2025-06-13,106
182,C001332923,169,2025-06-09,107
183,C001332923,10,2025-06-29,108
184,C001332933,148,2025-08-06,109
185,C001332933,404,2025-08-07,110
186,C001332933,39,2025-11-20,111
187,C001341125,197,2026-02-16,112
188,C001341125,1000,2025-07-17,113
189,C001341125,966,2025-07-17,113
190,C001341125,1000,2026-01-05,114
191,C001341125,242,2026-01-05,114
192,C001341125,1000,2026-05-25,115
193,C001341125,268,2026-05-25,115
194,C004254025,325,2025-10-04,116
195,C004254025,162,2025-09-15,117
196,C004254025,134,2025-12-05,118
197,C004254025,33,2025-07-20,119
198,C00500845,645,2025-11-30,120
199,C00500845,222,2025-12-01,121
200,C00500845,1000,2026-04-12,122
201,C00500845,140,2026-04-12,122
202,C00500845,1000,2025-07-29,123
203,C00500845,588,2025-07-29,123
204,C00500845,648,2025-11-11,124
205,C00500845,44,2026-03-19,125
206,C00500855,10,2025-08-05,126
207,C00502715,1000,2026-01-16,127
208,C00502715,1000,2026-01-16,127
209,C00502715,1000,2026-01-16,127
210,C00502715,67,2026-01-16,127
211,C00502715,1000,2025-09-12,128
212,C00502715,1000,2025-09-12,128
213,C00502715,1000,2025-09-12,128
214,C00502715,1000,2025-09-12,128
215,C00502715,776,2025-09-12,128
216,C00502715,1000,2025-11-15,129
217,C00502715,1000,2025-11-15,129
218,C00502715,1000,2025-11-15,129
219,C00502715,1000,2025-11-15,129
220,C00502715,1000,2025-11-15,129
221,C00502715,1000,2025-11-15,129
222,C00502715,418,2025-11-15,129
223,C00502715,1000,2025-11-18,130
224,C00502715,1000,2025-11-18,130
225,C00502715,1000,2025-11-18,130
226,C00502715,1000,2025-11-18,130
227,C00502715,1000,2025-11-18,130
228,C00502715,883,2025-11-18,130
229,C00502715,1000,2025-06-26,131
230,C00502715,1000,2025-06-26,131
231,C00502715,1000,2025-06-26,131
232,C00502715,1000,2025-06-26,131
233,C00502715,1000,2025-06-26,131
234,C00502715,1000,2025-06-26,131
235,C00502715,580,2025-06-26,131
236,C00502715,1000,2026-01-08,132
237,C00502715,1000,2026-01-08,132
238,C00502715,1000,2026-01-08,132
239,C00502715,1000,2026-01-08,132
240,C00502715,1000,2026-01-08,132
241,C00502715,1000,2026-01-08,132
242,C00502715,4,2026-01-08,132
243,C00502925,1000,2026-02-27,133
244,C00502925,125,2026-02-27,133
245,C00502925,1000,2025-11-27,134
246,C00502925,1000,2025-11-27,134
247,C00502925,601,2025-11-27,134
248,C00502925,893,2025-11-01,135
249,C00502925,1000,2025-07-31,136
250,C00502925,207,2025-07-31,136
251,C00502925,151,2025-12-12,137
252,C00502925,169,2026-01-17,138
253,C00502985,10,2026-09-03,139
254,C00502985,20,2025-08-12,140
255,C00502985,352,2026-03-09,141
256,C00502985,548,2027-03-21,142
257,C00502985,10,2026-05-31,143
258,C00503405,1000,2025-06-25,144
259,C00503405,1000,2025-06-25,144
260,C00503405,1000,2025-06-25,144
261,C00503405,294,2025-06-25,144
262,C00503405,869,2025-07-20,145
263,C00503405,1000,2025-07-22,146
264,C00503405,1000,2025-07-22,146
265,C00503405,327,2025-07-22,146
266,C00503405,1000,2025-08-18,147
267,C00503405,1000,2025-08-18,147
268,C00503405,181,2025-08-18,147
269,C00503405,1000,2025-07-04,148
270,C00503405,529,2025-07-04,148
271,C00503405,1000,2025-08-23,149
272,C00503405,1000,2025-08-23,149
273,C00503405,1000,2025-08-23,149
274,C00503405,274,2025-08-23,149
275,C00503415,396,2025-07-21,150
276,C00503415,12,2026-04-17,151
277,C00503415,211,2026-02-19,152
278,C00503415,544,2025-12-21,153
279,C00503415,214,2025-11-09,154
280,C00904265,11,2025-09-04,155
281,C00904265,12,2026-01-10,156
282,C00904265,56,2026-02-15,157
283,C00904275,1000,2025-12-10,158
284,C00904275,648,2025-12-10,158
285,C00904275,1000,2025-08-23,159
286,C00904275,1000,2025-08-23,159
287,C00904275,888,2025-08-23,159
288,C00904275,933,2025-10-19,160
289,C00904275,684,2025-09-26,161
290,C00904275,132,2025-08-11,162
291,C00904275,172,2025-08-03,163
292,C00904485,10,2025-12-10,164
293,C00904485,10,2026-03-11,165
294,C00904575,462,2026-03-07,166
295,C00904575,353,2025-09-19,167
296,C00904575,860,2025-06-21,168
297,C00904575,1000,2026-01-16,169
298,C00904575,193,2026-01-16,169
299,C00904575,896,2025-12-01,170
300,C00904575,32,2025-11-03,171
301,C00904585,70,2025-10-19,172
302,C00904585,493,2025-11-23,173
303,C00904585,59,2025-08-28,174
304,C00904585,586,2025-09-09,175
305,C00904585,306,2025-06-29,176
306,C00904595,60,2026-04-05,177
307,C00904595,16,2026-03-14,178
308,C00904595,158,2026-01-21,179
309,C00904605,33,2026-04-02,180
310,C00904605,10,2026-03-11,181
311,C00904605,12,2025-06-26,182
312,C00904605,85,2025-09-05,183
313,C00904885,10,2025-10-14,184
314,C00904885,10,2027-04-07,185
315,C00904895,441,2025-05-28,186
316,C00904895,203,2025-07-02,187
317,C00904895,10,2026-04-04,188
318,C00904895,161,2027-03-25,189
319,C00904915,232,2026-04-21,190
320,C00904915,10,2025-09-29,191
321,C00904915,22,2025-11-09,192
322,C00904925,334,2026-10-16,193
323,C00904925,215,2025-07-06,194
324,C00904925,1000,2026-01-23,195
325,C00904925,13,2026-01-23,195
326,C00904925,197,2025-11-13,196
327,C00904925,625,2025-12-16,197
328,C00904925,849,2026-01-26,198
329,C00904945,160,2025-08-12,199
330,C00904945,872,2026-02-03,200
331,C00904945,97,2026-10-23,201
332,C00904945,1000,2025-08-19,202
333,C00904945,563,2025-08-19,202
334,C00904945,706,2025-12-12,203
335,C00904955,122,2025-12-15,204
336,C00904955,28,2026-03-13,205
337,C00904955,432,2026-01-20,206
338,C00904955,10,2026-02-03,207
339,C00904955,1000,2026-01-25,208
340,C00904955,9,2026-01-25,208
341,C00904965,21,2025-09-21,209
342,C00904965,129,2026-04-11,210
343,C00904975,354,2026-02-05,211
344,C00904975,25,2025-12-17,212
345,C00904975,10,2025-09-03,213
346,C00904975,71,2026-01-23,214
347,C00904975,152,2026-06-24,215
348,C00904995,1000,2026-02-15,216
349,C00904995,1000,2026-02-15,216
350,C00904995,206,2026-02-15,216
351,C00904995,300,2026-01-08,217
352,C00904995,515,2026-04-06,218
353,C00904995,958,2025-10-12,219
354,C00904995,350,2026-03-17,220
355,C00905065,10,2026-02-13,221
356,C00905065,54,2025-07-28,222
357,C00905065,42,2026-03-26,223
358,C00905065,53,2026-06-04,224
359,C00905085,1000,2025-05-28,225
360,C00905085,1000,2025-05-28,225
361,C00905085,48,2025-05-28,225
362,C00905085,476,2025-08-30,226
363,C00905085,1000,2025-08-10,227
364,C00905085,1000,2025-08-10,227
365,C00905085,713,2025-08-10,227
366,C00905085,1000,2026-06-06,228
367,C00905085,397,2026-06-06,228
368,C00905085,1000,2025-08-11,229
369,C00905085,870,2025-08-11,229
370,C00905085,1000,2026-04-08,230
371,C00905085,95,2026-04-08,230
372,C00905105,328,2026-01-21,231
373,C00905105,367,2026-02-24,232
374,C00905105,968,2025-07-21,233
375,C00905105,976,2026-06-01,234
376,C00905105,1000,2026-01-20,235
377,C00905105,57,2026-01-20,235
378,C00905105,32,2025-08-16,236
379,C00905115,98,2026-02-20,237
380,C00905115,101,2025-08-26,238
381,C00905115,10,2026-04-03,239
382,C00905115,73,2025-10-27,240
383,C00905135,1000,2026-03-08,241
384,C00905135,521,2026-03-08,241
385,C00905135,1000,2025-08-04,242
386,C00905135,260,2025-08-04,242
387,C00905135,334,2026-03-24,243
388,C00905135,1000,2026-01-30,244
389,C00905135,290,2026-01-30,244
390,C00905135,671,2025-08-10,245
391,C00905135,433,2026-06-17,246
392,C00905165,299,2025-09-02,247
393,C00905165,332,2025-11-30,248
394,C00905165,1000,2025-08-30,249
395,C00905165,69,2025-08-30,249
396,C00905165,104,2026-05-21,250
397,C00905165,42,2025-08-09,251
398,C00905165,436,2025-08-20,252
399,C00905185,1000,2025-10-01,253
400,C00905185,189,2025-10-01,253
401,C00905185,1000,2025-07-01,254
402,C00905185,747,2025-07-01,254
403,C00905185,1000,2025-06-27,255
404,C00905185,1000,2025-06-27,255
405,C00905185,683,2025-06-27,255
406,C00905185,1000,2025-07-25,256
407,C00905185,1000,2025-07-25,256
408,C00905185,271,2025-07-25,256
409,C00905185,1000,2025-10-16,257
410,C00905185,961,2025-10-16,257
411,C00905185,1000,2025-07-03,258
412,C00905185,450,2025-07-03,258
413,C00905195,1000,2025-06-20,259
414,C00905195,174,2025-06-20,259
415,C00905195,326,2025-09-01,260
416,C00905195,1000,2026-03-08,261
417,C00905195,1000,2026-03-08,261
418,C00905195,654,2026-03-08,261
419,C00905195,1000,2025-08-31,262
420,C00905195,414,2025-08-31,262
421,C00905195,774,2025-06-17,263
422,C00905195,578,2026-01-30,264
423,C00905205,753,2026-04-18,265
424,C00905205,772,2025-11-04,266
425,C00905205,1000,2026-06-16,267
426,C00905205,402,2026-06-16,267
427,C00905205,436,2026-06-16,268
428,C00905205,1000,2026-09-27,269
429,C00905205,456,2026-09-27,269
430,C00905205,1000,2027-03-24,270
431,C00905205,102,2027-03-24,270
432,C00905215,106,2025-06-15,271
433,C00905215,1000,2025-06-02,272
434,C00905215,316,2025-06-02,272
435,C00905215,806,2026-03-28,273
436,C00905215,66,2025-09-10,274
437,C00905215,768,2025-12-20,275
438,C00905215,731,2025-12-29,276
439,C00905235,77,2026-02-06,277
440,C00905235,594,2025-09-28,278
441,C00905235,76,2026-01-23,279
442,C00905235,937,2026-05-28,280
443,C00905235,615,2025-10-04,281
444,C00905415,941,2026-03-27,282
445,C00905415,1000,2026-04-30,283
446,C00905415,798,2026-04-30,283
447,C00905415,362,2025-10-22,284
448,C00905415,576,2025-08-12,285
449,C00905415,101,2026-02-19,286
450,C00905415,36,2026-02-02,287
451,C00905435,755,2026-03-25,288
452,C00905435,279,2025-09-08,289
453,C00905435,285,2025-11-29,290
454,C00905435,28,2025-12-11,291
455,C00905435,209,2026-01-31,292
456,C00905445,672,2026-02-05,293
457,C00905445,144,2026-02-25,294
458,C00905445,919,2025-08-27,295
459,C00905445,299,2025-11-29,296
460,C00905445,737,2025-07-01,297
461,C00905445,521,2025-10-04,298
462,C00905455,181,2026-02-12,299
463,C00905455,41,2026-04-08,300
464,C00905455,260,2025-11-14,301
465,C00905455,106,2025-06-20,302
466,C00905455,542,2026-05-18,303
467,C00905555,820,2025-06-27,304
468,C00905555,173,2025-07-14,305
469,C00905555,227,2025-09-02,306
470,C00905555,104,2025-09-10,307
471,C00905585,88,2025-12-14,308
472,C00905585,71,2025-12-18,309
473,C00905585,10,2026-05-11,310
474,C00905585,580,2025-07-30,311
475,C00905605,867,2025-12-12,312
476,C00905605,1000,2026-04-14,313
477,C00905605,460,2026-04-14,313
478,C00905605,1000,2026-02-03,314
479,C00905605,145,2026-02-03,314
480,C00905605,662,2026-01-21,315
481,C00905605,1000,2025-08-03,316
482,C00905605,1000,2025-08-03,316
483,C00905605,1000,2025-08-03,316
484,C00905605,863,2025-08-03,316
485,C00905605,1000,2025-07-11,317
486,C00905605,1000,2025-07-11,317
487,C00905605,1000,2025-07-11,317
488,C00905605,1000,2025-07-11,317
489,C00905605,1000,2025-07-11,317
490,C00905605,1000,2025-07-11,317
491,C00905605,389,2025-07-11,317
492,C00905655,111,2026-03-07,318
493,C00905655,53,2026-01-04,319
494,C00905673,530,2025-07-05,320
495,C00905673,1000,2025-07-16,321
496,C00905673,100,2025-07-16,321
497,C00905695,59,2025-12-30,322
498,C00905695,13,2026-04-14,323
499,C00905695,21,2026-06-17,324
500,C00905695,10,2026-05-28,325
501,C00905765,1000,2026-01-13,326
502,C00905765,676,2026-01-13,326
503,C00905765,456,2026-01-08,327
504,C00905765,1000,2025-10-14,328
505,C00905765,1000,2025-10-14,328
506,C00905765,1000,2025-10-14,328
507,C00905765,49,2025-10-14,328
508,C00905765,1000,2026-01-06,329
509,C00905765,574,2026-01-06,329
510,C00905765,106,2025-09-01,330
511,C00905765,1000,2026-02-28,331
512,C00905765,154,2026-02-28,331
513,C00905792,1000,2025-06-12,332
514,C00905792,1000,2025-06-12,332
515,C00905792,1000,2025-06-12,332
516,C00905792,1000,2025-06-12,332
517,C00905792,698,2025-06-12,332
518,C00905792,1000,2025-06-17,333
519,C00905792,1000,2025-06-17,333
520,C00905792,1000,2025-06-17,333
521,C00905792,1000,2025-06-17,333
522,C00905792,1000,2025-06-17,333
523,C00905792,1000,2025-06-17,333
524,C00905792,1000,2025-06-17,333
525,C00905792,593,2025-06-17,333
526,C00905792,1000,2025-06-13,334
527,C00905792,1000,2025-06-13,334
528,C00905792,1000,2025-06-13,334
529,C00905792,1000,2025-06-13,334
530,C00905792,1000,2025-06-13,334
531,C00905792,402,2025-06-13,334
532,C00905792,1000,2025-06-28,335
533,C00905792,1000,2025-06-28,335
534,C00905792,1000,2025-06-28,335
535,C00905792,1000,2025-06-28,335
536,C00905792,1000,2025-06-28,335
537,C00905792,1000,2025-06-28,335
538,C00905792,1000,2025-06-28,335
539,C00905792,1000,2025-06-28,335
540,C00905792,433,2025-06-28,335
541,C00905792,1000,2025-06-17,336
542,C00905792,1000,2025-06-17,336
543,C00905792,1000,2025-06-17,336
544,C00905792,1000,2025-06-17,336
545,C00905792,1000,2025-06-17,336
546,C00905792,1000,2025-06-17,336
547,C00905792,219,2025-06-17,336
548,C00905792,1000,2025-07-18,337
549,C00905792,1000,2025-07-18,337
550,C00905792,1000,2025-07-18,337
551,C00905792,1000,2025-07-18,337
552,C00905792,1000,2025-07-18,337
553,C00905792,1000,2025-07-18,337
554,C00905792,101,2025-07-18,337
555,C111324165,62,2025-07-02,338
556,C111324165,54,2025-08-12,339
557,C111324165,68,2026-03-16,340
558,C241S5,10,2025-06-08,341
559,C807065,1000,2025-10-23,342
560,C807065,99,2025-10-23,342
561,C807065,341,2025-11-27,343
562,C807065,129,2025-12-22,344
563,C807065,209,2025-10-20,345
564,C815415,112,2025-12-22,346
565,C815415,75,2025-08-08,347
566,C827285,49,2025-12-26,348
567,C827285,576,2025-10-07,349
568,C827285,965,2026-01-30,350
569,C827285,559,2026-02-21,351
570,C832995,131,2026-06-26,352
571,C832995,53,2027-01-22,353
572,C832995,39,2026-07-27,354
573,C832995,294,2026-02-17,355
574,C835435,210,2025-07-26,356
575,C835435,1000,2026-04-10,357
576,C835435,309,2026-04-10,357
577,C835435,10,2025-12-08,358
578,C835435,10,2025-07-01,359
579,C843232,10,2025-12-07,360
580,C843232,14,2025-06-23,361
581,C843232,34,2025-09-08,362
582,C843232,10,2026-03-03,363
583,C843252,1000,2025-06-11,364
584,C843252,1000,2025-06-11,364
585,C843252,86,2025-06-11,364
586,C843252,297,2025-06-04,365
587,C843252,587,2025-06-21,366
588,C843252,1000,2025-07-12,367
589,C843252,78,2025-07-12,367
590,C843252,330,2025-07-23,368
591,Ca0645,1000,2025-07-23,369
592,Ca0645,577,2025-07-23,369
593,Ca0645,1000,2025-07-23,370
594,Ca0645,1000,2025-07-23,370
595,Ca0645,1000,2025-07-23,370
596,Ca0645,1000,2025-07-23,370
597,Ca0645,1000,2025-07-23,370
598,Ca0645,1000,2025-07-23,370
599,Ca0645,166,2025-07-23,370
600,Ca0645,1000,2025-07-20,371
601,Ca0645,1000,2025-07-20,371
602,Ca0645,1000,2025-07-20,371
603,Ca0645,666,2025-07-20,371
604,Ca0645,1000,2025-07-16,372
605,Ca0645,1000,2025-07-16,372
606,Ca0645,1000,2025-07-16,372
607,Ca0645,1000,2025-07-16,372
608,Ca0645,1000,2025-07-16,372
609,Ca0645,1000,2025-07-16,372
610,Ca0645,206,2025-07-16,372
611,Ca0645,1000,2025-07-13,373
612,Ca0645,1000,2025-07-13,373
613,Ca0645,1000,2025-07-13,373
614,Ca0645,1000,2025-07-13,373
615,Ca0645,1000,2025-07-13,373
616,Ca0645,1000,2025-07-13,373
617,Ca0645,961,2025-07-13,373
618,Ca0645,1000,2025-07-11,374
619,Ca0645,1000,2025-07-11,374
620,Ca0645,1000,2025-07-11,374
621,Ca0645,1000,2025-07-11,374
622,Ca0645,1000,2025-07-11,374
623,Ca0645,193,2025-07-11,374
624,Ca0665,18,2025-05-29,375
625,Ca0665,15,2025-07-09,376
626,Ca0665,141,2025-10-17,377
627,Ca0665,59,2025-10-11,378
628,Ca08685,321,2026-02-15,379
629,Ca08685,42,2025-12-16,380
630,Ca08685,310,2026-05-14,381
631,Ca08685,354,2026-03-19,382
632,Ca1395,18,2025-07-13,383
633,Ca1395,15,2026-04-18,384
634,Ca1395,436,2026-01-15,385
635,Ca1395,42,2025-10-06,386
636,Ca1505,562,2025-06-07,387
637,Ca1505,78,2025-08-02,388
638,Ca1505,166,2025-06-06,389
639,Ca1505,292,2025-08-04,390
640,Ca1505,1000,2025-10-03,391
641,Ca1505,39,2025-10-03,391
642,Ca1505,853,2025-07-04,392
643,Ca15305,1000,2025-06-12,393
644,Ca15305,282,2025-06-12,393
645,Ca15305,11,2025-10-22,394
646,Ca15315,88,2025-06-19,395
647,Ca15325,96,2026-01-16,396
648,Ca15325,195,2025-12-19,397
649,Ca15325,32,2026-03-13,398
650,Ca15325,740,2026-06-07,399
651,Ca15325,558,2025-07-03,400
652,Ca26085,920,2025-08-30,401
653,Ca26085,159,2026-01-19,402
654,Ca26085,138,2026-02-18,403
655,Ca56045,29,2025-08-19,404
656,Ca56045,72,2026-04-27,405
657,Ca56045,219,2026-02-26,406
658,Ca56045,142,2025-12-10,407
659,Ca56055,186,2025-08-17,408
660,Ca56055,10,2025-11-02,409
661,Ca56055,78,2025-10-06,410
662,Ca7005,718,2025-07-11,411
663,Ca7005,45,2026-04-26,412
664,Ca7005,10,2025-09-24,413
665,Ca7005,145,2025-11-05,414
666,Ca7005,424,2026-01-10,415
667,Ca7165,173,2025-11-12,416
668,Ca7165,298,2025-12-11,417
669,Ca7165,1000,2026-05-31,418
670,Ca7165,53,2026-05-31,418
671,Ca7165,1000,2025-08-01,419
672,Ca7165,127,2025-08-01,419
673,Ca7165,12,2025-12-13,420
674,Ca7265,40,2026-04-10,421
675,Ca7365,520,2026-03-21,422
676,Ca7365,16,2026-06-02,423
677,Ca7365,85,2025-06-11,424
678,Ca7365,22,2025-07-31,425
679,Ca7365,10,2025-09-30,426
680,Ca7425,119,2025-12-29,427
681,Ca7435,117,2026-02-14,428
682,Ca7435,91,2026-03-18,429
683,Ca7435,10,2026-03-12,430
684,Ca7435,69,2025-11-10,431
685,Ca7575,288,2025-12-26,432
686,Ca7575,361,2026-01-14,433
687,Ca7575,1000,2025-12-21,434
688,Ca7575,49,2025-12-21,434
689,Ca7575,404,2026-02-09,435
690,Ca7575,653,2025-12-16,436
691,Ca7575,477,2025-11-04,437
692,Ca7605,1000,2025-07-30,438
693,Ca7605,525,2025-07-30,438
694,Ca7605,1000,2025-12-02,439
695,Ca7605,344,2025-12-02,439
696,Ca7605,814,2026-02-26,440
697,Ca7605,117,2026-05-04,441
698,Ca7605,84,2025-10-10,442
699,Cb0215,63,2026-01-03,443
700,Cb0215,733,2025-07-04,444
701,Cb0215,650,2027-05-04,445
702,Cb0215,644,2025-10-31,446
703,Cb0215,1000,2027-02-27,447
704,Cb0215,551,2027-02-27,447
705,Cb0515,740,2025-11-05,448
706,Cb0515,445,2026-05-13,449
707,Cb0515,68,2026-03-03,450
708,Cb0515,10,2026-01-25,451
709,Cb0845,1000,2025-08-09,452
710,Cb0845,97,2025-08-09,452
711,Cb0845,317,2025-08-17,453
712,Cb0845,177,2025-07-24,454
713,Cb0845,215,2025-07-15,455
714,Cb0965,436,2025-07-11,456
715,Cb0965,170,2026-05-01,457
716,Cb0965,120,2025-09-10,458
717,Cb0965,982,2025-12-24,459
718,Cb0995,767,2025-07-16,460
719,Cb0995,39,2025-09-29,461
720,Cb0995,11,2025-10-31,462
721,Cb1045,302,2026-04-24,463
722,Cb1045,1000,2026-03-23,464
723,Cb1045,84,2026-03-23,464
724,Cb1045,1000,2025-10-26,465
725,Cb1045,959,2025-10-26,465
726,Cb1045,1000,2025-09-30,466
727,Cb1045,588,2025-09-30,466
728,Cb1045,1000,2025-08-16,467
729,Cb1045,1000,2025-08-16,467
730,Cb1045,75,2025-08-16,467
731,Cb1045,478,2025-10-03,468
732,Cb1055,131,2026-04-29,469
733,Cb1115,51,2026-05-10,470
734,Cb1115,27,2025-10-27,471
735,Cb1115,18,2026-02-28,472
736,Cb1115,143,2025-06-21,473
737,Cb11815,1000,2025-10-09,474
738,Cb11815,1000,2025-10-09,474
739,Cb11815,717,2025-10-09,474
740,Cb11815,1000,2025-11-22,475
741,Cb11815,1000,2025-11-22,475
742,Cb11815,850,2025-11-22,475
743,Cb11815,887,2025-06-26,476
744,Cb11815,1000,2025-07-13,477
745,Cb11815,990,2025-07-13,477
746,Cb11815,217,2025-10-10,478
747,Cb11815,741,2026-04-09,479
748,Cb11825,10,2025-09-15,480
749,Cb11825,14,2026-02-09,481
750,Cb11825,44,2025-08-25,482
751,Cb1205,50,2025-12-16,483
752,Cb1205,31,2025-12-28,484
